topic,category,prompt,quality_score
formative assessment,Education,Describe formative assessment including its key features benefits and limitations.,0.79
particle physics,Science,You are a world-renowned expert in particle physics. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.89
concurrency,Coding,Explain concurrency for someone with basic knowledge of Coding using clear language.,0.79
personal finance,General,What are the most important aspects of personal finance in the context of General?,0.61
affiliate marketing,Marketing,"As a leading researcher in Marketing, analyze affiliate marketing with academic rigor covering methodology findings implications and areas requiring further investigation.",0.93
mind body problem,Philosophy,"As a domain expert, explain mind body problem thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.94
mental health,General,help with mental health,0.23
marketing strategy,Business,marketing strategy explanation,0.33
black holes,Science,You are a senior professional in Science. Analyze black holes providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.83
conflict resolution,General,help with conflict resolution,0.33
classroom management,Education,"As a leading researcher in Education, analyze classroom management with academic rigor covering methodology findings implications and areas requiring further investigation.",0.89
affiliate marketing,Marketing,Give me info on affiliate marketing,0.42
project based learning,Education,help with project based learning,0.26
space exploration,Creative Writing,space exploration explanation,0.38
time travel,Creative Writing,Give a structured explanation of time travel with clear sections and examples.,0.56
black holes,Science,Explain black holes,0.26
conversion optimization,Marketing,Explain conversion optimization,0.22
conversion optimization,Marketing,What are the most important aspects of conversion optimization in the context of Marketing?,0.78
leadership,General,Provide an overview of leadership covering the main concepts and how they apply to General.,0.79
online learning,Education,online learning explanation,0.39
underwater world,Creative Writing,Write about underwater world,0.32
classroom management,Education,Write about classroom management,0.32
space exploration,Creative Writing,Write about space exploration,0.37
creativity,General,Walk me through creativity step by step covering the basics and intermediate concepts.,0.54
video marketing,Marketing,What is video marketing?,0.31
stoicism,Philosophy,"As a domain expert, explain stoicism thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.98
concurrency,Coding,What are the most important aspects of concurrency in the context of Coding?,0.56
business model canvas,Business,You are a world-renowned expert in business model canvas. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.96
strategic planning,Business,You are a world-renowned expert in strategic planning. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.82
magic system,Creative Writing,Describe magic system briefly,0.4
dystopian society,Creative Writing,dystopian society explanation,0.34
market analysis,Business,Describe market analysis including its key features benefits and limitations.,0.67
competitive analysis,Business,Give me info on competitive analysis,0.17
binary search tree,Coding,Explain binary search tree for someone with basic knowledge of Coding using clear language.,0.58
business model canvas,Business,Describe business model canvas briefly,0.38
plate tectonics,Science,"As a leading researcher in Science, analyze plate tectonics with academic rigor covering methodology findings implications and areas requiring further investigation.",0.96
critical thinking,Education,Describe critical thinking including its key features benefits and limitations.,0.57
evolution,Science,Give a structured explanation of evolution with clear sections and examples.,0.68
political philosophy,Philosophy,You are a world-renowned expert in political philosophy. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.93
quantum mechanics,Science,Act as a seasoned practitioner with 20 years experience in quantum mechanics. Share expert insights common pitfalls best practices and real-world case studies.,0.85
strategic planning,Business,Describe strategic planning briefly,0.27
competitive analysis,Business,Act as a specialist in competitive analysis. Break down this subject systematically explaining core components their relationships and practical applications in Business context.,0.87
climate change,Science,You are an expert in climate change. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.87
system design,Coding,What is system design?,0.42
REST API,Coding,Provide an overview of REST API covering the main concepts and how they apply to Coding.,0.52
supply chain,Business,Act as a thought leader on supply chain. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.88
virtual reality,Creative Writing,Explain virtual reality in detail with examples and practical applications.,0.75
social contract,Philosophy,Walk me through social contract step by step covering the basics and intermediate concepts.,0.68
competitive analysis,Business,Explain competitive analysis,0.37
sustainable living,General,What is sustainable living?,0.38
relativity theory,Science,Describe relativity theory briefly,0.45
influencer strategy,Marketing,Explain influencer strategy,0.17
revenue model,Business,You are a world-renowned expert in revenue model. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.9
personal finance,General,What is personal finance?,0.43
blended learning,Education,You are an expert in blended learning. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.9
sustainable living,General,sustainable living explanation,0.15
ethics of AI,Philosophy,Tell me about ethics of AI,0.37
peer teaching,Education,peer teaching explanation,0.4
epistemology,Philosophy,Tell me about epistemology,0.27
photosynthesis,Science,Act as a specialist in photosynthesis. Break down this subject systematically explaining core components their relationships and practical applications in Science context.,0.86
post apocalyptic world,Creative Writing,Give me info on post apocalyptic world,0.28
formative assessment,Education,Give me info on formative assessment,0.26
affiliate marketing,Marketing,Act as a seasoned practitioner with 20 years experience in affiliate marketing. Share expert insights common pitfalls best practices and real-world case studies.,0.84
mental health,General,"As a leading researcher in General, analyze mental health with academic rigor covering methodology findings implications and areas requiring further investigation.",0.85
parallel universe,Creative Writing,What are the most important aspects of parallel universe in the context of Creative Writing?,0.64
virtual reality,Creative Writing,You are a world-renowned expert in virtual reality. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.96
parallel universe,Creative Writing,Provide an overview of parallel universe covering the main concepts and how they apply to Creative Writing.,0.55
recursion,Coding,What are the most important aspects of recursion in the context of Coding?,0.78
decision making,General,You are a world-renowned expert in decision making. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.83
decision making,General,Explain decision making,0.17
mind body problem,Philosophy,Give me info on mind body problem,0.35
community building,Marketing,Give me info on community building,0.24
stem cells,Science,You are a world-renowned expert in stem cells. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.87
flipped classroom,Education,Provide an overview of flipped classroom covering the main concepts and how they apply to Education.,0.68
CRISPR,Science,Give me info on CRISPR,0.25
ethics of AI,Philosophy,You are a senior professional in Philosophy. Analyze ethics of AI providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.86
blockchain,Coding,Provide an overview of blockchain covering the main concepts and how they apply to Coding.,0.61
assessment methods,Education,You are a senior professional in Education. Analyze assessment methods providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.89
epistemology,Philosophy,You are a world-renowned expert in epistemology. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.94
binary search tree,Coding,You are an expert in binary search tree. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.83
dystopian society,Creative Writing,You are a world-renowned expert in dystopian society. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.95
political philosophy,Philosophy,You are a senior professional in Philosophy. Analyze political philosophy providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.84
binary search tree,Coding,Act as a seasoned practitioner with 20 years experience in binary search tree. Share expert insights common pitfalls best practices and real-world case studies.,0.97
nuclear fusion,Science,Describe nuclear fusion including its key features benefits and limitations.,0.75
influencer strategy,Marketing,You are a world-renowned expert in influencer strategy. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.9
political philosophy,Philosophy,Tell me about political philosophy,0.31
startup funding,Business,Act as a seasoned practitioner with 20 years experience in startup funding. Share expert insights common pitfalls best practices and real-world case studies.,0.85
gamification,Education,"As a domain expert, explain gamification thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.93
video marketing,Marketing,Explain video marketing in detail with examples and practical applications.,0.65
digital identity,Philosophy,What is digital identity?,0.18
blended learning,Education,blended learning explanation,0.32
growth hacking,Marketing,Act as a thought leader on growth hacking. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.89
sustainable living,General,Give a structured explanation of sustainable living with clear sections and examples.,0.61
creativity,General,Act as a specialist in creativity. Break down this subject systematically explaining core components their relationships and practical applications in General context.,0.9
blockchain,Coding,Describe blockchain including its key features benefits and limitations.,0.65
mental health,General,Act as a seasoned practitioner with 20 years experience in mental health. Share expert insights common pitfalls best practices and real-world case studies.,0.89
leadership,General,Act as a seasoned practitioner with 20 years experience in leadership. Share expert insights common pitfalls best practices and real-world case studies.,0.86
stem cells,Science,You are an expert in stem cells. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.94
social contract,Philosophy,Act as a thought leader on social contract. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.84
conflict resolution,General,Explain conflict resolution,0.3
email marketing,Marketing,"As a domain expert, explain email marketing thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.89
emotional intelligence,General,Walk me through emotional intelligence step by step covering the basics and intermediate concepts.,0.64
utilitarianism,Philosophy,Explain utilitarianism in detail with examples and practical applications.,0.57
email marketing,Marketing,Describe email marketing including its key features benefits and limitations.,0.61
curriculum design,Education,Describe curriculum design briefly,0.21
epistemology,Philosophy,Provide an overview of epistemology covering the main concepts and how they apply to Philosophy.,0.65
supply chain,Business,Tell me about supply chain,0.43
competitive analysis,Business,Explain competitive analysis in detail with examples and practical applications.,0.76
conflict resolution,General,You are a senior professional in General. Analyze conflict resolution providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.86
venture capital,Business,"As a domain expert, explain venture capital thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.96
stoicism,Philosophy,Write about stoicism,0.39
found family,Creative Writing,found family explanation,0.23
REST API,Coding,You are a senior professional in Coding. Analyze REST API providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.9
assessment methods,Education,You are an expert in assessment methods. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.89
binary search tree,Coding,Describe binary search tree briefly,0.37
identity crisis,Creative Writing,Describe identity crisis including its key features benefits and limitations.,0.73
social contract,Philosophy,Act as a specialist in social contract. Break down this subject systematically explaining core components their relationships and practical applications in Philosophy context.,0.93
peer teaching,Education,"As a leading researcher in Education, analyze peer teaching with academic rigor covering methodology findings implications and areas requiring further investigation.",0.91
resilience,General,"As a domain expert, explain resilience thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.94
truth and knowledge,Philosophy,Describe truth and knowledge including its key features benefits and limitations.,0.69
email marketing,Marketing,Walk me through email marketing step by step covering the basics and intermediate concepts.,0.68
STEM education,Education,Write about STEM education,0.4
public speaking,General,Explain public speaking,0.41
database indexing,Coding,Walk me through database indexing step by step covering the basics and intermediate concepts.,0.55
quantum mechanics,Science,What are the most important aspects of quantum mechanics in the context of Science?,0.79
concurrency,Coding,Act as a thought leader on concurrency. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.85
social media campaign,Marketing,Write about social media campaign,0.37
sustainable living,General,Act as a seasoned practitioner with 20 years experience in sustainable living. Share expert insights common pitfalls best practices and real-world case studies.,0.87
supply chain,Business,Describe supply chain briefly,0.41
business model canvas,Business,Act as a thought leader on business model canvas. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.84
product launch,Business,You are a world-renowned expert in product launch. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.88
habit formation,General,Give me info on habit formation,0.28
customer journey,Marketing,Tell me about customer journey,0.36
curriculum design,Education,Act as a thought leader on curriculum design. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.97
time travel,Creative Writing,What are the most important aspects of time travel in the context of Creative Writing?,0.51
peer teaching,Education,Provide an overview of peer teaching covering the main concepts and how they apply to Education.,0.73
redemption,Creative Writing,Give me info on redemption,0.39
mental health,General,What is mental health?,0.16
political philosophy,Philosophy,Act as a seasoned practitioner with 20 years experience in political philosophy. Share expert insights common pitfalls best practices and real-world case studies.,0.9
customer journey,Marketing,Act as a specialist in customer journey. Break down this subject systematically explaining core components their relationships and practical applications in Marketing context.,0.98
critical thinking,Education,You are a senior professional in Education. Analyze critical thinking providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.84
classroom management,Education,Explain classroom management,0.45
artificial intelligence,Creative Writing,Act as a seasoned practitioner with 20 years experience in artificial intelligence. Share expert insights common pitfalls best practices and real-world case studies.,0.96
student motivation,Education,You are a senior professional in Education. Analyze student motivation providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.92
meaning of life,Philosophy,You are an expert in meaning of life. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.94
critical thinking,Education,Tell me about critical thinking,0.4
social media campaign,Marketing,Explain social media campaign in detail with examples and practical applications.,0.65
future of work,General,Give me info on future of work,0.31
redemption,Creative Writing,Act as a specialist in redemption. Break down this subject systematically explaining core components their relationships and practical applications in Creative Writing context.,0.85
sustainable living,General,Give me info on sustainable living,0.16
revenue model,Business,Provide an overview of revenue model covering the main concepts and how they apply to Business.,0.76
creativity,General,"As a domain expert, explain creativity thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.87
referral program,Marketing,You are an expert in referral program. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.82
DNA replication,Science,Describe DNA replication including its key features benefits and limitations.,0.76
moral relativism,Philosophy,Write about moral relativism,0.27
gamification,Education,Give me info on gamification,0.2
venture capital,Business,venture capital explanation,0.27
future of work,General,You are an expert in future of work. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.94
future of work,General,Act as a specialist in future of work. Break down this subject systematically explaining core components their relationships and practical applications in General context.,0.93
product launch,Business,Walk me through product launch step by step covering the basics and intermediate concepts.,0.71
post apocalyptic world,Creative Writing,Tell me about post apocalyptic world,0.18
student motivation,Education,Give me info on student motivation,0.44
space exploration,Creative Writing,Explain space exploration for someone with basic knowledge of Creative Writing using clear language.,0.65
customer journey,Marketing,You are a world-renowned expert in customer journey. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.91
consciousness,Philosophy,Explain consciousness in detail with examples and practical applications.,0.61
habit formation,General,What are the most important aspects of habit formation in the context of General?,0.62
leadership,General,Explain leadership in detail with examples and practical applications.,0.75
redemption,Creative Writing,Provide an overview of redemption covering the main concepts and how they apply to Creative Writing.,0.58
time management,General,You are a world-renowned expert in time management. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.86
photosynthesis,Science,Explain photosynthesis in detail with examples and practical applications.,0.54
nuclear fusion,Science,Describe nuclear fusion briefly,0.22
neural networks,Coding,Provide an overview of neural networks covering the main concepts and how they apply to Coding.,0.65
team management,Business,Walk me through team management step by step covering the basics and intermediate concepts.,0.58
truth and knowledge,Philosophy,truth and knowledge explanation,0.41
mystery thriller,Creative Writing,Give me info on mystery thriller,0.44
relativity theory,Science,Give a structured explanation of relativity theory with clear sections and examples.,0.71
formative assessment,Education,You are a senior professional in Education. Analyze formative assessment providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.89
market analysis,Business,help with market analysis,0.43
blended learning,Education,Explain blended learning in detail with examples and practical applications.,0.76
public speaking,General,"As a domain expert, explain public speaking thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.82
political philosophy,Philosophy,You are an expert in political philosophy. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.9
public speaking,General,Explain public speaking in detail with examples and practical applications.,0.74
personalized learning,Education,Describe personalized learning including its key features benefits and limitations.,0.78
content marketing,Marketing,You are a senior professional in Marketing. Analyze content marketing providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.86
sorting algorithms,Coding,Act as a thought leader on sorting algorithms. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.86
venture capital,Business,You are an expert in venture capital. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.92
team management,Business,Provide an overview of team management covering the main concepts and how they apply to Business.,0.65
plate tectonics,Science,Give me info on plate tectonics,0.38
neural networks,Coding,You are an expert in neural networks. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.95
learning disabilities,Education,Give me info on learning disabilities,0.2
photosynthesis,Science,Explain photosynthesis,0.41
graph algorithms,Coding,Describe graph algorithms briefly,0.41
dark matter,Science,Describe dark matter including its key features benefits and limitations.,0.57
redemption,Creative Writing,"As a domain expert, explain redemption thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.9
unreliable narrator,Creative Writing,Act as a thought leader on unreliable narrator. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.97
social contract,Philosophy,Write about social contract,0.44
gamification,Education,Give a structured explanation of gamification with clear sections and examples.,0.56
resilience,General,Describe resilience including its key features benefits and limitations.,0.73
moral relativism,Philosophy,Act as a thought leader on moral relativism. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.85
growth hacking,Marketing,Give a structured explanation of growth hacking with clear sections and examples.,0.7
pricing strategy,Business,You are a senior professional in Business. Analyze pricing strategy providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.83
vaccine development,Science,help with vaccine development,0.42
brand identity,Business,"As a domain expert, explain brand identity thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.96
pricing strategy,Business,Tell me about pricing strategy,0.25
moral relativism,Philosophy,You are a world-renowned expert in moral relativism. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.89
assessment methods,Education,help with assessment methods,0.44
found family,Creative Writing,Give me info on found family,0.41
communication skills,General,Act as a specialist in communication skills. Break down this subject systematically explaining core components their relationships and practical applications in General context.,0.83
underwater world,Creative Writing,Act as a specialist in underwater world. Break down this subject systematically explaining core components their relationships and practical applications in Creative Writing context.,0.89
decision making,General,Give a structured explanation of decision making with clear sections and examples.,0.59
database indexing,Coding,Act as a specialist in database indexing. Break down this subject systematically explaining core components their relationships and practical applications in Coding context.,0.95
time management,General,Act as a specialist in time management. Break down this subject systematically explaining core components their relationships and practical applications in General context.,0.95
recursion,Coding,Act as a thought leader on recursion. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.98
artificial intelligence,Creative Writing,Act as a specialist in artificial intelligence. Break down this subject systematically explaining core components their relationships and practical applications in Creative Writing context.,0.97
customer journey,Marketing,Give me info on customer journey,0.18
free will,Philosophy,Act as a seasoned practitioner with 20 years experience in free will. Share expert insights common pitfalls best practices and real-world case studies.,0.86
conversion optimization,Marketing,Act as a specialist in conversion optimization. Break down this subject systematically explaining core components their relationships and practical applications in Marketing context.,0.84
personalized learning,Education,personalized learning explanation,0.27
CRISPR,Science,Explain CRISPR for someone with basic knowledge of Science using clear language.,0.55
SEO strategy,Marketing,"As a domain expert, explain SEO strategy thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.88
dark matter,Science,Give a structured explanation of dark matter with clear sections and examples.,0.6
free will,Philosophy,Act as a thought leader on free will. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.82
market analysis,Business,You are an expert in market analysis. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.84
curriculum design,Education,Explain curriculum design in detail with examples and practical applications.,0.76
curriculum design,Education,Tell me about curriculum design,0.19
black holes,Science,Describe black holes briefly,0.21
vaccine development,Science,Describe vaccine development including its key features benefits and limitations.,0.75
content marketing,Marketing,help with content marketing,0.32
revenue model,Business,Explain revenue model for someone with basic knowledge of Business using clear language.,0.67
binary search tree,Coding,What are the most important aspects of binary search tree in the context of Coding?,0.53
team management,Business,"As a domain expert, explain team management thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.86
parallel universe,Creative Writing,"As a domain expert, explain parallel universe thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.88
artificial intelligence,Creative Writing,Give me info on artificial intelligence,0.32
design patterns,Coding,"As a domain expert, explain design patterns thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.83
time travel,Creative Writing,help with time travel,0.32
quantum mechanics,Science,Act as a thought leader on quantum mechanics. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.89
brand storytelling,Marketing,Describe brand storytelling including its key features benefits and limitations.,0.76
kubernetes,Coding,Act as a thought leader on kubernetes. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.82
concurrency,Coding,Act as a specialist in concurrency. Break down this subject systematically explaining core components their relationships and practical applications in Coding context.,0.92
existentialism,Philosophy,Write about existentialism,0.38
customer journey,Marketing,You are an expert in customer journey. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.87
customer retention,Business,You are an expert in customer retention. Provide a comprehensive analysis covering key concepts mechanisms real-world applications and future implications with specific examples.,0.89
startup funding,Business,Provide an overview of startup funding covering the main concepts and how they apply to Business.,0.52
assessment methods,Education,Act as a specialist in assessment methods. Break down this subject systematically explaining core components their relationships and practical applications in Education context.,0.97
sustainable living,General,Explain sustainable living,0.24
binary search tree,Coding,Give a structured explanation of binary search tree with clear sections and examples.,0.78
blockchain,Coding,Explain blockchain in detail with examples and practical applications.,0.52
content marketing,Marketing,Explain content marketing,0.18
particle physics,Science,help with particle physics,0.34
underwater world,Creative Writing,Explain underwater world in detail with examples and practical applications.,0.77
social contract,Philosophy,Describe social contract briefly,0.16
docker,Coding,Give a structured explanation of docker with clear sections and examples.,0.71
curriculum design,Education,help with curriculum design,0.17
black holes,Science,What are the most important aspects of black holes in the context of Science?,0.55
project based learning,Education,Explain project based learning for someone with basic knowledge of Education using clear language.,0.61
community building,Marketing,Describe community building briefly,0.36
evolution,Science,Explain evolution for someone with basic knowledge of Science using clear language.,0.63
unreliable narrator,Creative Writing,Describe unreliable narrator including its key features benefits and limitations.,0.71
system design,Coding,Act as a specialist in system design. Break down this subject systematically explaining core components their relationships and practical applications in Coding context.,0.93
resilience,General,help with resilience,0.39
nanotechnology,Science,Write about nanotechnology,0.31
ethics of AI,Philosophy,Explain ethics of AI for someone with basic knowledge of Philosophy using clear language.,0.52
sorting algorithms,Coding,Tell me about sorting algorithms,0.28
creativity,General,help with creativity,0.35
kubernetes,Coding,Explain kubernetes,0.3
content marketing,Marketing,Give me info on content marketing,0.19
binary search tree,Coding,Describe binary search tree including its key features benefits and limitations.,0.71
personalized learning,Education,Act as a seasoned practitioner with 20 years experience in personalized learning. Share expert insights common pitfalls best practices and real-world case studies.,0.93
peer teaching,Education,You are a senior professional in Education. Analyze peer teaching providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.94
design patterns,Coding,Give a structured explanation of design patterns with clear sections and examples.,0.69
decision making,General,Act as a thought leader on decision making. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.86
competitive analysis,Business,Provide an overview of competitive analysis covering the main concepts and how they apply to Business.,0.56
microservices,Coding,Describe microservices including its key features benefits and limitations.,0.77
meaning of life,Philosophy,Give me info on meaning of life,0.35
critical thinking,Education,Write about critical thinking,0.41
content marketing,Marketing,What is content marketing?,0.39
climate change,Science,Provide an overview of climate change covering the main concepts and how they apply to Science.,0.56
database indexing,Coding,Describe database indexing including its key features benefits and limitations.,0.74
online learning,Education,Give me info on online learning,0.23
STEM education,Education,Act as a thought leader on STEM education. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.85
relativity theory,Science,What are the most important aspects of relativity theory in the context of Science?,0.62
redemption,Creative Writing,Write about redemption,0.38
particle physics,Science,Give a structured explanation of particle physics with clear sections and examples.,0.59
nanotechnology,Science,You are a senior professional in Science. Analyze nanotechnology providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.94
microservices,Coding,Provide an overview of microservices covering the main concepts and how they apply to Coding.,0.79
CRISPR,Science,Explain CRISPR,0.41
mental health,General,Provide an overview of mental health covering the main concepts and how they apply to General.,0.55
critical thinking,Education,"As a domain expert, explain critical thinking thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.86
customer retention,Business,Act as a thought leader on customer retention. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.91
future of work,General,What is future of work?,0.19
identity crisis,Creative Writing,Act as a specialist in identity crisis. Break down this subject systematically explaining core components their relationships and practical applications in Creative Writing context.,0.83
space exploration,Creative Writing,Explain space exploration in detail with examples and practical applications.,0.51
conversion optimization,Marketing,Write about conversion optimization,0.37
brand storytelling,Marketing,Act as a thought leader on brand storytelling. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.86
formative assessment,Education,Walk me through formative assessment step by step covering the basics and intermediate concepts.,0.63
evolution,Science,What is evolution?,0.24
sorting algorithms,Coding,Describe sorting algorithms briefly,0.41
market analysis,Business,Explain market analysis for someone with basic knowledge of Business using clear language.,0.74
machine learning,Coding,"As a domain expert, explain machine learning thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.82
unreliable narrator,Creative Writing,help with unreliable narrator,0.43
quantum mechanics,Science,"As a domain expert, explain quantum mechanics thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.83
blockchain,Coding,Tell me about blockchain,0.29
free will,Philosophy,Explain free will for someone with basic knowledge of Philosophy using clear language.,0.57
referral program,Marketing,Give me info on referral program,0.44
brand storytelling,Marketing,Walk me through brand storytelling step by step covering the basics and intermediate concepts.,0.54
quantum mechanics,Science,Give me info on quantum mechanics,0.43
moral relativism,Philosophy,"As a leading researcher in Philosophy, analyze moral relativism with academic rigor covering methodology findings implications and areas requiring further investigation.",0.85
meaning of life,Philosophy,Provide an overview of meaning of life covering the main concepts and how they apply to Philosophy.,0.51
relativity theory,Science,Give me info on relativity theory,0.35
project based learning,Education,You are a senior professional in Education. Analyze project based learning providing actionable insights research-backed recommendations and step-by-step implementation guidance.,0.83
formative assessment,Education,"As a leading researcher in Education, analyze formative assessment with academic rigor covering methodology findings implications and areas requiring further investigation.",0.96
digital transformation,Business,Explain digital transformation in detail with examples and practical applications.,0.58
public speaking,General,You are a world-renowned expert in public speaking. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.9
dark matter,Science,You are a world-renowned expert in dark matter. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.85
brand storytelling,Marketing,Give me info on brand storytelling,0.43
conflict resolution,General,Act as a specialist in conflict resolution. Break down this subject systematically explaining core components their relationships and practical applications in General context.,0.89
meaning of life,Philosophy,Explain meaning of life in detail with examples and practical applications.,0.68
gamification,Education,Explain gamification in detail with examples and practical applications.,0.51
parallel universe,Creative Writing,Explain parallel universe for someone with basic knowledge of Creative Writing using clear language.,0.73
climate change,Science,Act as a specialist in climate change. Break down this subject systematically explaining core components their relationships and practical applications in Science context.,0.94
neural networks,Coding,Walk me through neural networks step by step covering the basics and intermediate concepts.,0.72
justice and equality,Philosophy,Act as a thought leader on justice and equality. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.92
learning disabilities,Education,Tell me about learning disabilities,0.34
productivity,General,Act as a specialist in productivity. Break down this subject systematically explaining core components their relationships and practical applications in General context.,0.82
brand identity,Business,help with brand identity,0.24
lost civilization,Creative Writing,Write about lost civilization,0.24
peer teaching,Education,Write about peer teaching,0.42
influencer strategy,Marketing,What is influencer strategy?,0.43
graph algorithms,Coding,Explain graph algorithms for someone with basic knowledge of Coding using clear language.,0.64
DNA replication,Science,Act as a thought leader on DNA replication. Explore multiple perspectives identify key challenges propose innovative solutions and outline measurable outcomes.,0.84
digital identity,Philosophy,Act as a seasoned practitioner with 20 years experience in digital identity. Share expert insights common pitfalls best practices and real-world case studies.,0.95
redemption,Creative Writing,help with redemption,0.34
artificial intelligence,Creative Writing,Tell me about artificial intelligence,0.2
project based learning,Education,Write about project based learning,0.35
climate change,Science,You are a world-renowned expert in climate change. Provide an authoritative deep-dive covering theoretical foundations empirical evidence practical applications and future directions.,0.83
productivity,General,Tell me about productivity,0.18
marketing strategy,Business,Walk me through marketing strategy step by step covering the basics and intermediate concepts.,0.68
conversion optimization,Marketing,"As a domain expert, explain conversion optimization thoroughly including historical background current state of knowledge common misconceptions and practical significance.",0.94
